age,gender,height,weight,activity_type,weight_category,calories
34,Male,151.3,83.2,Gym,Obese,1494
59,Female,170.5,67.9,Cycling,Normal,2010
20,Male,174.3,67.7,Yoga,Normal,2123
42,Female,178.6,71.6,Yoga,Normal,2373
37,Female,149.7,83.2,HIIT,Obese,1383
34,Female,173.7,66.1,Yoga,Normal,2235
33,Female,164.4,70.7,Cycling,Overweight,1658
32,Female,182.4,86.1,Cycling,Overweight,1799
26,Female,145,79.1,Walking,Obese,1414
33,Female,160,63.6,Cycling,Normal,2029
29,Female,179.4,51.4,Running,Underweight,2486
65,Female,148.9,86.6,Running,Obese,1536
58,Female,171.6,80.3,Running,Overweight,1999
46,Male,157,66.5,HIIT,Overweight,1901
40,Female,179.5,53.7,HIIT,Underweight,2737
61,Male,180.5,75,Running,Normal,2137
51,Male,167.6,62.8,Walking,Normal,2307
35,Male,184.5,94.2,HIIT,Overweight,1903
21,Female,180,81.4,Running,Overweight,1708
53,Female,147.4,58.2,Gym,Overweight,1976
68,Female,181.8,45.7,Yoga,Underweight,2636
55,Female,157.1,71.8,Walking,Overweight,1704
20,Male,161.6,59.9,Gym,Normal,2130
52,Male,181.6,57.1,Cycling,Underweight,2736
26,Male,172.5,88,Gym,Overweight,1661
27,Male,184,74,Running,Normal,2064
68,Female,162,97.7,Walking,Obese,1386
18,Female,174.4,67.1,Cycling,Normal,2249
30,Male,163.6,68.4,HIIT,Overweight,1827
33,Female,159.4,60.5,Yoga,Normal,2117
47,Male,176.7,96.8,Gym,Obese,1373
45,Female,181.2,58.2,Gym,Underweight,2764
63,Female,167.6,86.8,Running,Obese,1393
38,Male,181.1,70.5,Walking,Normal,2047
60,Male,147,76.2,Yoga,Obese,1414
20,Male,153.9,56.4,Gym,Normal,2258
67,Male,160.9,99.5,HIIT,Obese,1421
48,Male,152.3,69,Gym,Overweight,1922
67,Male,182.4,74.1,Yoga,Normal,2031
66,Female,174.8,54.2,Cycling,Underweight,2587
32,Male,166.8,98.8,Yoga,Obese,1697
56,Male,173.7,77.4,Yoga,Overweight,1612
19,Male,170.2,64.1,Running,Normal,2366
49,Female,162.1,73.7,HIIT,Overweight,1992
38,Female,183.5,80.8,HIIT,Normal,2128
70,Male,183.2,82.9,Yoga,Normal,2275
52,Male,184.5,63.2,Yoga,Normal,2336
37,Female,170.4,67.5,Cycling,Normal,2048
45,Male,167.9,55.9,Walking,Normal,2160
66,Female,151.3,78.4,Gym,Obese,1657
66,Female,154.5,68.6,Running,Overweight,1676
36,Female,165.8,82.9,Gym,Obese,1502
39,Male,176.8,98.2,Walking,Obese,1375
63,Male,178.3,78.1,Yoga,Normal,2343
54,Male,179.4,75.7,Running,Normal,2270
60,Female,168.3,97.7,Running,Obese,1675
23,Male,177.6,65.6,Running,Normal,2257
69,Female,162,84.7,Gym,Obese,1481
53,Male,176.9,98.2,Walking,Obese,1638
45,Male,176.9,75.6,Walking,Normal,2341
65,Male,170.5,57.9,Walking,Normal,2382
45,Male,183.5,85.2,Running,Overweight,1800
57,Female,169.5,89.6,Walking,Obese,1464
47,Male,166.5,90.4,Walking,Obese,1655
34,Male,164,63.2,HIIT,Normal,2149
37,Female,145.9,89.9,Walking,Obese,1630
57,Male,161.9,51.4,Walking,Normal,2234
56,Male,184.6,58.8,Walking,Underweight,2647
53,Male,151.9,64.7,Yoga,Overweight,1756
30,Female,174.4,52.3,Cycling,Underweight,2644
54,Male,172.4,52.4,HIIT,Underweight,2614
27,Female,164.4,53,Gym,Normal,2126
54,Male,163.7,53.5,Cycling,Normal,2345
61,Female,174.1,71,Yoga,Normal,2316
46,Female,169,54.8,Gym,Normal,2233
68,Female,184.8,76.1,Gym,Normal,2191
27,Male,178.6,48.9,Gym,Underweight,2769
68,Male,156,75.2,Cycling,Obese,1527
36,Female,158.6,46,HIIT,Underweight,2630
23,Male,183.7,49.2,Running,Underweight,2658
64,Female,172.6,64.4,Gym,Normal,2022
28,Male,148,50.4,Walking,Normal,2160
20,Male,157.9,80.3,Walking,Obese,1366
50,Male,172.1,86.6,Walking,Overweight,1630
66,Male,147.3,96.7,HIIT,Obese,1548
21,Female,153.2,61.2,Gym,Overweight,1605
69,Male,177.3,87.8,Running,Overweight,1756
22,Male,168.6,89.9,HIIT,Obese,1694
18,Male,156.3,57.1,Running,Normal,2393
62,Female,171.1,46.2,HIIT,Underweight,2439
40,Female,161.5,95.8,Gym,Obese,1580
59,Female,145.5,62.9,Yoga,Overweight,1983
43,Female,159.9,73.3,Running,Overweight,1903
34,Female,181.4,67.4,Gym,Normal,2228
51,Male,182.2,97.6,Yoga,Overweight,1813
63,Male,173.5,88.1,Gym,Overweight,1827
44,Female,146.1,75.1,HIIT,Obese,1417
61,Male,181.7,75,Gym,Normal,2337
46,Female,170.4,63.5,Walking,Normal,2326
28,Male,164.1,86.9,Running,Obese,1597
32,Male,180.1,48.3,Yoga,Underweight,2700
56,Male,162.3,61.7,Yoga,Normal,2139
20,Female,175.1,47.8,Yoga,Underweight,2616
50,Female,159.5,69,Walking,Overweight,1947
38,Female,149.8,51.4,Cycling,Normal,2364
45,Male,164.3,61.6,Yoga,Normal,2281
37,Female,154.9,81.4,Walking,Obese,1525
34,Male,175.9,90.2,Running,Overweight,1774
56,Female,180.9,84.4,Yoga,Overweight,1923
33,Male,156.8,92.4,HIIT,Obese,1524
43,Female,168.6,94.8,Walking,Obese,1614
56,Female,184.4,90.2,HIIT,Overweight,1803
60,Male,164.3,88.2,Yoga,Obese,1380
60,Female,151.1,60.4,Yoga,Overweight,1610
52,Male,152.2,99.3,Cycling,Obese,1320
27,Female,179.3,94.4,Gym,Overweight,1955
59,Male,155.6,97.9,Walking,Obese,1456
20,Female,182.3,68.1,Running,Normal,2168
67,Female,168.1,63.5,Gym,Normal,2280
41,Male,157.2,51.4,Yoga,Normal,2273
34,Female,159.3,71.1,Running,Overweight,1948
69,Male,165.9,87.7,Cycling,Obese,1338
59,Female,153,96.7,Running,Obese,1381
49,Female,149.7,81.1,HIIT,Obese,1378
44,Male,145.5,86.6,Running,Obese,1700
38,Male,154.5,69.9,Gym,Overweight,1693
44,Male,172,92.8,Running,Obese,1436
38,Female,152.4,91.2,Running,Obese,1322
30,Female,178.6,75.2,HIIT,Normal,2040
66,Male,151.2,54.8,HIIT,Normal,2263
42,Male,172.5,69.6,Gym,Normal,2275
20,Male,158,89.3,HIIT,Obese,1303
37,Male,173,67.1,Yoga,Normal,2260
58,Female,146.6,49.2,Walking,Normal,2191
23,Female,182.7,91.7,Walking,Overweight,1697
19,Male,171,77.9,Gym,Overweight,1749
40,Female,167.5,76.6,Running,Overweight,1701
35,Female,168,98.2,Yoga,Obese,1375
48,Female,155.4,60.9,HIIT,Overweight,1712
23,Male,182.8,77.7,Cycling,Normal,2166
69,Female,160.5,49.5,Running,Normal,2031
40,Female,163.6,73.9,Yoga,Overweight,1689
48,Male,155.9,49.4,Yoga,Normal,2036
62,Male,161.7,77,Cycling,Overweight,1812
57,Female,147.8,65.5,Gym,Overweight,1697
20,Male,166.4,67.7,HIIT,Normal,2366
65,Male,182.2,49.8,Cycling,Underweight,2536
39,Female,160,80,Walking,Obese,1444
46,Male,170.7,69.9,Cycling,Normal,2195
39,Female,164.1,82.3,Cycling,Obese,1344
49,Male,152.3,86.4,Gym,Obese,1302
50,Female,148.6,97.9,Cycling,Obese,1362
39,Female,146.3,81.4,Yoga,Obese,1692
36,Female,147.4,72.3,HIIT,Obese,1354
29,Male,153.6,98.7,Cycling,Obese,1383
57,Male,176.8,95.5,Walking,Obese,1545
46,Male,170.7,93.6,Gym,Obese,1512
67,Female,152.4,88.5,Yoga,Obese,1504
22,Female,165.1,91.2,Walking,Obese,1388
60,Female,152.1,75,Cycling,Obese,1532
42,Female,162.2,64,Running,Normal,2105
21,Male,181.2,52.3,Gym,Underweight,2516
58,Female,171.5,73.1,Running,Normal,2117
25,Male,175.4,92.4,Gym,Obese,1426
43,Female,164.1,79.4,Gym,Overweight,1801
23,Female,150.8,93.8,Walking,Obese,1372
32,Female,152.6,82.2,HIIT,Obese,1374
19,Male,171.4,99.3,Gym,Obese,1585
61,Male,164.1,62.5,Cycling,Normal,2065
29,Male,164.2,46.1,Running,Underweight,2489
34,Male,158.5,69.4,Running,Overweight,1720
36,Female,170.5,59.8,Cycling,Normal,2275
39,Female,154,87.7,Cycling,Obese,1580
38,Male,164,82.8,Running,Obese,1411
37,Female,157.4,46.3,Running,Normal,2192
50,Female,158.8,56.9,HIIT,Normal,2233
55,Male,181.7,76.7,Cycling,Normal,2248
68,Male,174.2,68.3,Walking,Normal,2251
35,Female,155.5,52.6,Gym,Normal,2373
58,Female,161.1,75.7,Running,Overweight,1945
51,Male,161.9,66.4,Walking,Overweight,1978
48,Male,168.7,89.6,Running,Obese,1568
43,Male,183.6,63.3,Running,Normal,2016
59,Male,163.4,94.2,Yoga,Obese,1694
63,Female,178.5,50,Walking,Underweight,2432
32,Female,177.2,86.2,HIIT,Overweight,1704
59,Female,162.1,66.5,Cycling,Overweight,1996
22,Female,171.4,64.7,Yoga,Normal,2381
59,Male,169,99.9,Yoga,Obese,1667
63,Male,165.6,72,HIIT,Overweight,1928
21,Female,156.2,92.5,Walking,Obese,1434
58,Male,166,58.6,Cycling,Normal,2222
57,Female,152,82,Cycling,Obese,1425
65,Female,168.8,60.8,Running,Normal,2167
43,Female,161,66.7,HIIT,Overweight,1802
41,Male,176.4,72.8,Cycling,Normal,2136
40,Female,170.1,91.2,Walking,Obese,1369
64,Male,170.5,82.5,Gym,Overweight,1896
55,Female,146.4,46.6,Walking,Normal,2311
59,Female,146.1,65.8,Running,Obese,1572
54,Female,159.3,85.9,Running,Obese,1654
18,Male,180.3,89,Yoga,Overweight,1689
37,Male,145.7,52.3,Cycling,Normal,2380
66,Male,153.1,97.1,Walking,Obese,1318
22,Male,163.5,88.1,Running,Obese,1485
38,Female,159.8,84.3,Gym,Obese,1526
40,Female,172.3,85.8,Running,Overweight,1804
43,Female,175,85.6,HIIT,Overweight,1851
30,Female,146.8,71.3,Yoga,Obese,1674
39,Male,177,64.2,Walking,Normal,2292
35,Male,162.1,97.9,Gym,Obese,1412
49,Female,153.7,85.4,Gym,Obese,1503
37,Male,148.6,98.6,Gym,Obese,1533
29,Female,182,57.7,Cycling,Underweight,2430
27,Male,160.6,55.7,Walking,Normal,2224
27,Male,161.8,64.9,HIIT,Normal,2375
26,Female,180.9,95.1,Gym,Overweight,1668
64,Male,176.9,47.4,Cycling,Underweight,2510
19,Male,154.5,51.7,HIIT,Normal,2000
36,Male,182,57.2,Cycling,Underweight,2593
68,Female,166,62.2,Yoga,Normal,2332
38,Female,167.7,89.7,Walking,Obese,1695
60,Female,158.7,74.4,Walking,Overweight,1885
66,Female,180.6,48.2,HIIT,Underweight,2418
25,Male,179.3,73.1,HIIT,Normal,2367
20,Female,162.2,76.8,Running,Overweight,1928
68,Male,152.4,80.8,Yoga,Obese,1392
22,Male,166.2,93.4,Running,Obese,1312
59,Female,158.9,89.4,Walking,Obese,1572
70,Female,165.9,85.7,Running,Obese,1533
44,Male,171.7,84.9,Running,Overweight,1890
41,Male,162.6,77.8,Yoga,Overweight,1606
23,Female,180.9,68.6,Cycling,Normal,2145
56,Male,149.4,47.1,Yoga,Normal,2106
65,Male,182.4,75.3,Running,Normal,2060
59,Male,156.1,69.4,Walking,Overweight,1618
46,Male,147.9,46.6,Cycling,Normal,2187
55,Male,174.7,50.6,Running,Underweight,2568
70,Male,182.4,61.9,Walking,Normal,2167
56,Female,171.9,49,Running,Underweight,2667
33,Female,170.5,98.6,Gym,Obese,1486
26,Male,167.5,71.3,Gym,Overweight,1848
40,Female,165.1,91.3,Running,Obese,1433
51,Female,145.3,77.7,HIIT,Obese,1573
44,Male,185,97.8,HIIT,Overweight,1835
42,Male,170.4,96,Walking,Obese,1572
37,Female,165,70.8,HIIT,Overweight,1759
57,Male,169.9,86.8,Running,Obese,1430
48,Female,184.9,54.2,Cycling,Underweight,2577
20,Male,176.7,82.3,Yoga,Overweight,1721
18,Male,160.3,77.1,Running,Obese,1582
30,Female,147.7,46.9,Gym,Normal,2285
54,Female,171.8,82.3,Walking,Overweight,1994
22,Male,146.3,56.1,HIIT,Overweight,1915
59,Male,174.3,90,Running,Overweight,1824
45,Female,165.1,63.3,Walking,Normal,2244
31,Female,164.7,62,Walking,Normal,2330
23,Female,159,74,Walking,Overweight,1962
31,Female,157.8,52.5,HIIT,Normal,2137
25,Male,156.6,60.7,Gym,Normal,2222
54,Female,150.6,77.7,Running,Obese,1592
51,Male,145.3,56.7,HIIT,Overweight,1884
29,Male,152.5,54.7,Walking,Normal,2175
65,Female,175.6,85.6,Gym,Overweight,1802
37,Male,159.4,94.8,Walking,Obese,1671
58,Female,179.2,65.2,Cycling,Normal,2102
66,Male,184.1,100,HIIT,Overweight,1996
56,Male,163.3,88.6,Cycling,Obese,1528
19,Male,183.7,99,Gym,Overweight,1640
40,Male,157.5,86.1,HIIT,Obese,1414
25,Female,178.7,78.5,Yoga,Normal,2238
24,Female,173.4,72.5,Gym,Normal,2325
43,Female,177.8,50.1,Gym,Underweight,2467
70,Female,184.1,58.6,Running,Underweight,2767
58,Female,159.8,47.9,Walking,Normal,2395
52,Female,183.5,59.5,Cycling,Underweight,2653
58,Male,151.8,99.1,HIIT,Obese,1559
47,Female,183.9,75.7,HIIT,Normal,2001
24,Female,152.2,84.8,Cycling,Obese,1492
65,Male,152.6,52.8,HIIT,Normal,2184
34,Male,180.1,80,Running,Normal,2365
31,Female,149.5,67.7,HIIT,Obese,1486
45,Male,158,46.7,Gym,Normal,2273
66,Male,181.7,51.9,Yoga,Underweight,2446
31,Female,162,63.3,Gym,Normal,2049
21,Male,156.1,49.2,Yoga,Normal,2047
57,Male,170.5,88.6,Running,Obese,1501
36,Female,170.9,80.3,HIIT,Overweight,1771
56,Male,184,89.8,HIIT,Overweight,1861
31,Female,162.7,46.2,Cycling,Underweight,2660
53,Female,165.9,98.2,HIIT,Obese,1628
45,Male,175.7,68,Cycling,Normal,2052
65,Female,161.2,89.1,Gym,Obese,1463
55,Female,166.1,81.6,Running,Overweight,1914
55,Female,157.8,84.5,Walking,Obese,1529
34,Male,169.1,75.9,Gym,Overweight,1929
69,Female,159.8,62.5,Cycling,Normal,2003
36,Male,173.1,66.3,Walking,Normal,2097
57,Male,178,80.6,Cycling,Overweight,1630
19,Female,170.2,51.5,Running,Underweight,2459
35,Female,167.1,74.7,Gym,Overweight,1617
39,Male,184.3,66.7,Running,Normal,2110
58,Male,181.7,83.6,Walking,Overweight,1692
33,Male,174.4,72.5,Running,Normal,2384
68,Male,154.1,73.4,Walking,Obese,1582
63,Female,167.1,79.8,Yoga,Overweight,1736
19,Female,154.6,64.7,HIIT,Overweight,1714
69,Male,150.8,98.7,Cycling,Obese,1401
33,Female,170.7,90.2,HIIT,Obese,1442
18,Male,169.5,55.9,HIIT,Normal,2398
28,Male,169.2,75.1,HIIT,Overweight,1632
20,Male,157.3,92.3,Cycling,Obese,1309
36,Male,150.8,65.1,Gym,Overweight,1907
30,Male,177.2,71.9,Walking,Normal,2189
46,Male,147.3,94.9,Gym,Obese,1626
49,Male,176.2,70.6,Cycling,Normal,2325
66,Female,150.1,45.3,Walking,Normal,2295
68,Female,162.8,68.8,HIIT,Overweight,1800
49,Female,179.4,49.6,Gym,Underweight,2426
55,Male,150.3,81,Walking,Obese,1412
29,Female,149.5,51.3,Cycling,Normal,2294
53,Female,147.8,74.8,Cycling,Obese,1638
67,Female,146.8,57.3,Walking,Overweight,1965
35,Male,182,71.8,Cycling,Normal,2101
43,Female,181.1,59.7,HIIT,Underweight,2722
46,Female,153.9,93.3,Running,Obese,1682
64,Female,179.2,67.4,Gym,Normal,2181
61,Female,179.6,96.6,Cycling,Overweight,1840
64,Female,182.4,52.7,Yoga,Underweight,2647
22,Male,176.7,68,Gym,Normal,2153
63,Female,147.6,47.7,Walking,Normal,2129
24,Female,164.3,93.8,Cycling,Obese,1464
29,Female,175.5,46.6,Cycling,Underweight,2617
51,Female,163.8,92.1,HIIT,Obese,1468
64,Male,181.1,54.1,Cycling,Underweight,2457
55,Female,180.4,87.9,Walking,Overweight,1744
45,Male,175.1,53,Gym,Underweight,2541
61,Male,155.2,47,Running,Normal,2057
45,Female,182.8,74.8,Yoga,Normal,2307
21,Female,180.1,78.7,HIIT,Normal,2332
46,Female,180,97.3,Walking,Obese,1357
30,Female,167.5,67.3,Walking,Normal,2113
53,Male,163.3,89.1,Yoga,Obese,1597
34,Male,163.6,71.3,Yoga,Overweight,1651
54,Female,178.9,71.6,Walking,Normal,2177
49,Female,149.7,94.4,Yoga,Obese,1588
27,Male,183.8,67.7,Running,Normal,2098
19,Male,164,84.4,Gym,Obese,1678
35,Female,159.8,95.5,Gym,Obese,1457
38,Male,156.2,61.8,Walking,Overweight,1871
38,Female,154.7,92.3,Cycling,Obese,1587
41,Male,170.5,63.8,Walking,Normal,2322
24,Male,182.9,83,Running,Normal,2058
24,Female,181.2,71.2,Walking,Normal,2036
67,Female,151.1,97.8,Walking,Obese,1341
66,Female,168.8,50.1,Yoga,Underweight,2760
35,Female,146,72.3,Running,Obese,1455
64,Female,158.6,93.4,HIIT,Obese,1643
22,Male,179.9,96.7,Walking,Overweight,1788
56,Male,157.8,48,Yoga,Normal,2399
39,Male,172.1,56.6,Gym,Normal,2028
50,Female,146.3,71.1,Yoga,Obese,1442
18,Female,154.3,77.8,Yoga,Obese,1525
46,Female,166.7,65.8,HIIT,Normal,2286
62,Male,166.8,71.1,Cycling,Overweight,1776
53,Female,171.4,65.7,Yoga,Normal,2291
61,Male,152.8,75.6,Walking,Obese,1675
54,Male,169.4,98.5,Cycling,Obese,1658
53,Female,167.2,64.3,Walking,Normal,2169
70,Female,150.2,79.9,Running,Obese,1345
44,Male,156.4,94.5,Yoga,Obese,1320
67,Male,150.9,93.6,HIIT,Obese,1495
23,Female,177.9,89,HIIT,Overweight,1646
38,Female,175,56.4,Cycling,Underweight,2687
24,Male,146.9,87.9,Yoga,Obese,1324
49,Male,167.3,62.9,Cycling,Normal,2123
44,Male,156.2,46,Yoga,Normal,2340
28,Female,150.5,58.2,Cycling,Overweight,1660
54,Male,155.9,64.5,Cycling,Overweight,1960
67,Male,177.7,90.7,HIIT,Overweight,1761
62,Male,154.1,94.3,Walking,Obese,1453
23,Female,163.3,78,Gym,Overweight,1955
45,Male,182.9,72.4,Walking,Normal,2064
67,Male,150.7,50.1,Yoga,Normal,2156
60,Female,164,94.7,Cycling,Obese,1680
54,Male,168.6,64,Gym,Normal,2032
67,Female,160.2,99.6,HIIT,Obese,1530
69,Female,147.5,51.2,HIIT,Normal,2355
58,Male,148.8,58.6,Running,Overweight,1635
58,Female,157.7,80.6,Running,Obese,1557
19,Male,145.2,90.7,Cycling,Obese,1341
20,Female,182.9,92.2,Yoga,Overweight,1743
25,Male,157,88.9,Running,Obese,1332
68,Male,183.3,55.3,Gym,Underweight,2547
47,Female,181.2,61.3,HIIT,Normal,2099
25,Female,156.5,68,Running,Overweight,1750
31,Female,163.6,53.2,Running,Normal,2211
45,Female,181.3,70.6,HIIT,Normal,2225
37,Male,164.3,88.2,Cycling,Obese,1632
55,Male,150.6,45.4,Running,Normal,2200
57,Male,168.4,51.6,Yoga,Underweight,2590
28,Female,180.8,90.8,Running,Overweight,1744
69,Female,154.5,68.7,Cycling,Overweight,1832
65,Male,177.9,53,Cycling,Underweight,2586
32,Female,172.7,96.4,Cycling,Obese,1301
44,Male,172.3,59.9,Yoga,Normal,2089
20,Male,164.6,71.8,Gym,Overweight,1809
45,Male,160.9,53.4,Gym,Normal,2065
36,Male,168.9,83.8,Yoga,Overweight,1853
51,Male,155.6,50.4,Running,Normal,2234
39,Female,156,45.9,Walking,Normal,2178
27,Male,156.8,45.1,Cycling,Underweight,2639
31,Female,167.9,65.5,Running,Normal,2168
62,Male,159.6,87.1,Yoga,Obese,1640
59,Female,151.9,89.9,Cycling,Obese,1597
51,Male,183.7,76.4,Walking,Normal,2080
34,Male,176.1,52.2,Walking,Underweight,2698
45,Male,175.9,48.2,Running,Underweight,2766
21,Female,152.7,57.7,Yoga,Normal,2241
64,Male,164.7,82.5,HIIT,Obese,1408
68,Male,168.7,77.2,Gym,Overweight,1963
27,Female,184.4,52.8,Running,Underweight,2483
22,Male,172.1,89.6,HIIT,Obese,1580
66,Male,161.3,52.5,Walking,Normal,2308
52,Male,159,70.7,Yoga,Overweight,1720
49,Male,159.8,56.6,Gym,Normal,2005
36,Female,159.2,53.3,Yoga,Normal,2059
68,Male,174.5,67.5,Gym,Normal,2296
54,Female,157.6,95.3,Yoga,Obese,1589
46,Male,150.7,71.5,Yoga,Obese,1535
34,Male,176.5,99.1,Gym,Obese,1500
37,Female,158.4,62.8,Running,Overweight,1902
26,Male,154.4,69.5,Cycling,Overweight,1737
44,Male,146,90.1,Yoga,Obese,1539
30,Male,146.9,66.4,Walking,Obese,1615
57,Female,164.4,70.5,Cycling,Overweight,1959
33,Female,145.9,51.4,Walking,Normal,2370
42,Male,148.1,93,HIIT,Obese,1683
48,Female,175,48.5,Running,Underweight,2685
38,Male,166.5,82.5,Running,Overweight,1774
46,Male,168.2,97.6,Gym,Obese,1433
45,Female,176.9,91.1,Running,Overweight,1679
61,Male,176.6,57,Yoga,Underweight,2734
27,Female,148.6,73.4,Walking,Obese,1438
67,Female,147.3,95.8,Cycling,Obese,1496
35,Male,176.8,45.6,Running,Underweight,2685
69,Female,153.6,52.5,Gym,Normal,2103
47,Male,180.8,69.8,Yoga,Normal,2079
59,Female,150.8,80.8,Yoga,Obese,1566
70,Male,170.8,84.8,Yoga,Overweight,1776
39,Male,167,92,Gym,Obese,1503
58,Female,163.5,75.5,HIIT,Overweight,1866
41,Female,178.3,86.7,Running,Overweight,1939
41,Female,179.2,72.9,Cycling,Normal,2123
43,Male,157.7,55.3,HIIT,Normal,2305
42,Female,159.1,56.6,HIIT,Normal,2394
20,Male,167.2,46.9,HIIT,Underweight,2745
46,Male,150.5,63.2,Running,Overweight,1621
29,Female,164.4,46,Running,Underweight,2544
37,Female,173.8,70.1,Yoga,Normal,2049
29,Female,170.3,70.1,Cycling,Normal,2054
60,Male,178.7,96.9,Cycling,Obese,1380
61,Male,169.6,82.5,Walking,Overweight,1900
51,Male,170.6,84.7,Yoga,Overweight,1969
64,Male,184.7,62.1,Cycling,Underweight,2714
21,Male,148.9,95.7,Yoga,Obese,1304
70,Female,146.5,76.5,HIIT,Obese,1616
50,Female,184.7,76.4,Gym,Normal,2246
42,Male,167.3,59.3,Walking,Normal,2194
26,Male,145.1,50.9,Walking,Normal,2030
54,Female,151.5,59.3,Walking,Overweight,1664
32,Female,172.5,73.2,HIIT,Normal,2241
37,Male,171.3,91.1,Walking,Obese,1463
33,Male,159.7,71.5,Walking,Overweight,1863
70,Female,176.6,48.3,HIIT,Underweight,2714
33,Female,179.5,51.8,Yoga,Underweight,2460
52,Female,182.1,82.2,HIIT,Normal,2353
45,Female,152.6,97.2,Running,Obese,1427
52,Male,181.7,99,Running,Obese,1519
66,Male,184.1,96.6,Running,Overweight,1859
35,Female,167.4,93.7,Gym,Obese,1563
47,Male,181.4,98.5,HIIT,Overweight,1844
48,Male,156.2,76.4,Walking,Obese,1320
41,Male,148.9,78.6,Cycling,Obese,1405
21,Female,164.5,89.9,Cycling,Obese,1479
36,Male,159,97,HIIT,Obese,1435
64,Female,161.5,56,Yoga,Normal,2291
64,Female,148.9,80.7,Yoga,Obese,1612
50,Female,184.7,77.7,Running,Normal,2022
21,Female,183.9,64.6,Walking,Normal,2053
22,Female,159.4,72,Yoga,Overweight,1788
57,Female,153.7,51.1,Walking,Normal,2029
24,Male,156.6,93.5,Walking,Obese,1581
51,Male,154,77,Yoga,Obese,1400
37,Male,183.3,69,HIIT,Normal,2350
56,Female,166,50.5,Yoga,Underweight,2539
36,Male,145.1,46.1,Yoga,Normal,2270
61,Male,165,72.8,Running,Overweight,1869
31,Female,183.9,64.6,Yoga,Normal,2370
35,Male,148.4,72.1,Yoga,Obese,1524
